Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen
Fondazione fava,https://www.fondazionefava.it/archivio-di-giuseppe-fava/,True,,False,,False,AIUCD,,True,,2023-09-30 07:02:51,2024-12-13 05:20:43
OpenGadda,https://numgadda.github.io/OpenGadda/databasecolumnmerge.html,True,,False,,False,AIUCD,,False,,,
Hyperpavese,https://www.hyperpavese.com/progetto.php,True,,False,,False,AIUCD,,False,,2021-10-24 10:18:42,2024-07-19 03:49:28
Progetto viver,https://testi.progettoviver.it/,True,,False,,False,AIUCD,,False,,2023-12-06 14:48:12,2024-11-15 00:19:50
LACAM Laboratory ,https://lacam.di.uniba.it/activit/,False,,False,,False,IRCDL,,False,,2012-10-27 00:11:05,2021-05-14 22:17:52
"IntraText dLib: digital library framework system based on distributed collaboration, e-mail interaction and easy to use text-to-xml facilities for editorial accuracy ",https://www.intratext.com/ ,True,,False,,False,IRCDL,,True,ricerca per parole non va,2000-02-29 04:38:37,2024-12-22 01:47:01
Enabling Services in Knowledge Infrastructures: The DRIVER Experience,,False,https://www.driver-repository.eu/,True,,False,IRCDL,,False,,,
"Personalization in Digital Libraries: An Intelligent Service based on Semantic User Profiles
",http://193.204.187.223:8080/iswc rebuild/,False,,False,,False,IRCDL,,False,,,
	D4Science: Infrastructure to Support the Definition and Operation of Virtual Research Environments,https://www.d4science.org/,True,,False,,False,IRCDL,,False,,2008-02-08 12:48:11,2024-12-17 19:37:33
MultiMatch: A New Way to Access Cultural Heritage Information across Media and Language Boundaries,http://multimatch01.isti.cnr.it/ ,False,http://www.multimatch.eu/,True,,False,IRCDL,,False,,2010-02-11 15:43:24,2023-06-02 08:59:47
"TrebleCLEF: Evaluation, Best Practices and Collaboration for Multilingual Access", https://www.multimatch.org/ (secondo link non va),False,https://www.trebleclef.eu/,True,,False,IRCDL,,False,,,
DRIVER-II: Infrastructure to Support the Aggregation and Curation of Repositories Federation,,False,https://www.driver-repository.eu/,True,,False,IRCDL,,False,,,
"CASPAR: Cultural, Artistic and Scientific Knowledge for Preservation, Access and Retrieval","https://www.casparpreserves.eu/caspar-project.html#:~:text=CASPAR%20%2D%20Cultural%2C%20Artistic%20and%20Scientific,cultural%20and%20scientific%20resources%22).",True,,False,,False,IRCDL,,False,,2011-01-30 05:51:19,2022-10-06 18:26:16
CLEF Ad-hoc: A Perspective on the Evolution of the Cross-Language Evaluation Forum,http://ims.dei.unipd.it/gridclef/,False,,False,,False,IRCDL,,False,,2008-11-09 07:48:28,2022-01-20 10:05:37
"Toward an Audio Digital Library 2.0: SMASH, a Social Music Archive of SHellac Phonographic Discs",https://avires.dimi.uniud.it/tmp/DL/Experimental_Results.html,False,,False,,False,IRCDL,,True,404 page not found,2024-04-15 06:30:49,2024-04-15 06:30:49
"The Challenges of Building Ex Libris Rosetta, a Digital Preservation System",https://exlibrisgroup.com/products/rosetta-digital-asset-management-and-preservation/,False,,False,,False,IRCDL,,True,page not found,2018-02-03 22:25:00,2024-12-18 22:53:43
SIAR: A User-Centric Digital Archive System,https://siar.regione.veneto.it/,True,,False,,False,IRCDL,,False,,2017-07-17 20:59:10,2024-11-17 03:06:33
A Multi-layer Digital Library for Mediaeval Legal Manuscripts (Mosaico project),http://mosaico.cirsfid.unibo.it/,True,,False,,False,IRCDL,,True,problemi con alcuni caricamenti,2013-05-08 14:14:18,2023-12-11 12:15:45
"Establishing a Digital Library in Wide-Ranging University’s Context
The Sapienza Digital Library Experience",https://sapienzadigitallibrary.uniroma1.it/index.php/,True,,False,,False,IRCDL,,False,,2024-08-07 05:28:00,2024-12-02 09:07:38
A Contribution for the Dissemination of Cultural Heritage Content to a Wider Public,http://ipsa.ipsa-project.org/,True,http://ipsa.ipsa-project.org/,True,,False,IRCDL,,True,è necessario avere delle credenziali,2022-01-22 13:54:05,2022-01-22 13:54:05
Historical Digital Archive and Geo-referenced Contents of the Francigena Librari Web Portal,http://www.francigena.beniculturali.it/web/valit/il-progetto,False,,False,,False,IRCDL,,False,,2014-05-25 06:10:04,2014-11-22 17:18:13
EDB: Knowledge Technologies for Ancient Greek and Latin Epigraphy,https://www.edb.uniba.it/,True,,False,,False,IRCDL,,False,,2004-10-14 18:23:51,2024-12-06 18:27:17
"Culturaitalia, the Italian National Content Aggregator in Europeana",http://dati.culturaitalia.it/,True,,False,,False,IRCDL,,False,,2013-07-18 09:43:24,2024-09-10 00:46:22
The AstroBID: Preserving and Sharing the Italian Astronomical Heritage.,www.beniculturali.inaf.it,True,,False,,False,IRCDL,,False,,2015-12-26 09:35:52,2024-12-21 22:01:08
The TRAME Project - Text and Manuscript Transmission of the Middle Ages in Europe,http://git-trame.fefonlus.it/,True,,False,,False,IRCDL,,False,,2017-06-18 21:58:04,2024-09-11 03:18:51
"The Archivio dei Possessori of the Biblioteca Nazionale
Marciana. A Provenance Database",https://archiviopossessori.it/,True,,False,,False,IRCDL,,False,,2021-07-15 15:27:00,2024-12-09 23:21:07
"An IT Support for an Exhibition of Illuminated
Manuscripts",https://ipsa.dei.unipd.it/,False,,False,,False,IRCDL,,False,,2013-01-17 08:22:14,2021-03-02 15:44:47
SACHER: Smart Architecture for Cultural Heritage in Emilia Romagna,http://www.sacherproject.com/,False,,False,,False,IRCDL,,False,,2018-04-26 17:11:48,2024-04-24 14:26:06
A Research Tool for the ERC-Funded EMoBookTrade project ,http://emobooktrade.uniud.it/,False,,False,,False,IRCDL,,False,,2018-04-30 07:23:23,2019-09-13 02:40:43
"The European Project OpenUP: OPENing UP new Methods, Indicators and Tools for Peer Review, Impact Measurement and Dissemination of Research Results",https://www.openuphub.eu/,False,,False,,False,IRCDL,,False,,2017-06-05 00:00:23,2024-12-03 13:42:59
XDOCS: an Application to Index Historical Documents,https://aimagelab.ing.unimore.it/imagelab/project.asp?idprogetto=59,True,,False,,False,IRCDL,,True,non si riesce a scaricare i dataset,2020-08-09 05:50:23,2024-04-21 20:54:27
A Software Architecture for Narratives,https://dlnarratives.eu/narratives.html,False,,False,,False,IRCDL,,False,,2020-03-04 02:32:14,2024-07-24 19:14:38
Library Data Integration: the CoBiS Linked Open Data Project and Portal ,https://dati.cobis.to.it/,True,,False,,False,IRCDL,,False,,2018-12-24 09:18:24,2024-12-20 03:52:06
Annote: A Serious Game for Medical Students to Approach Lesion Skin Images of a Digital Library ,https://imagelab.ing.unimore.it/annoteProject,False,,False,,False,IRCDL,,False,,,
The Biographical Dictionary of Friulans -“Nuovo Liruti” On-Line,https://www.dizionariobiograficodeifriulani.it/,True,,False,,False,IRCDL,,False,,2017-04-06 20:16:37,2024-11-23 01:29:24
Regional Research Portal FVG: an OpenScience portal ,https://research.unityfvg.it/,False,,False,,False,IRCDL,,False,,2022-01-28 02:16:16,2024-03-29 04:03:44
Predicting the Usability of the Dice CAPTCHA via Artificial Neural Network,https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path=%2Falessiaamelio%2F+software-tools%2Fdice-captcha-dataset.,False,,False,,False,IRCDL,,False,,,
