Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen
Project 3d Bridge,https://wissensgeschichte.biblhertz.it/3d-bridge-html/index3D.html,True,,False,,False,Italian DH Institutions,,False,"li project url è più un sito vetrina, per visualizzare il modello 3d bisogna scaricare un software e un dataset in locale",2020-09-06 21:49:35,2024-04-05 07:52:30
Hertziana Rare Books Online,https://dlib.biblhertz.it/,True,,False,,False,Italian DH Institutions,,False,,2019-01-14 14:24:44,2024-09-18 06:28:10
Spatial,https://dlib.biblhertz.it/spatial/,True,,False,,False,Italian DH Institutions,,False,,2007-06-25 05:33:59,2022-10-25 11:14:43
Cipro,https://cipro.biblhertz.it/,True,,False,,False,Italian DH Institutions,,False,,2018-02-16 05:56:40,2024-12-15 01:43:10
Abruzzen und Molise,https://db.biblhertz.it/abruzzo/index.xml,True,,False,,False,Italian DH Institutions,,False,,,
Maps and Gazetteers,https://maps.biblhertz.it/,True,,False,,False,Italian DH Institutions,,False,,2021-06-24 15:55:38,2024-10-05 07:40:48
Staccioli,https://staccioli.biblhertz.it/resource/,True,,False,,False,Italian DH Institutions,,False,,2015-12-23 17:19:12,2024-06-27 11:30:14
Confluenze,https://confluenze.dev/,True,,False,,False,Italian DH Institutions,,False,,2020-04-11 10:57:01,2024-09-18 13:03:24
Florentine Drawings,https://florentinedrawings.itatti.harvard.edu/,True,,False,,False,Italian DH Institutions,,False,,2024-06-04 21:19:14,2024-06-04 21:19:14
CRIA,https://cria.itatti.harvard.edu/,True,,False,,False,Italian DH Institutions,,False,,2024-04-18 17:03:56,2024-12-17 02:42:07
Pharos,https://pharosartresearch.org/,True,,False,,False,Italian DH Institutions,,False,è un sito vetrina (https://vision.artresearch.net/resource/start),2017-04-06 23:44:39,2024-12-17 06:19:26
Yashiro,https://yashiro.itatti.harvard.edu/,True,,False,,False,Italian DH Institutions,,False,,2018-03-29 22:44:05,2024-11-27 12:58:29
I Tatti Digital Collection,https://collection.itatti.harvard.edu/,True,,False,,False,Italian DH Institutions,,False,,2016-10-30 05:04:38,2024-12-21 13:06:51
Belle Greene,https://bellegreene.itatti.harvard.edu/,True,,False,,False,Italian DH Institutions,,True,error 404,2015-07-15 00:33:15,2024-12-08 22:26:55
Galleria Borghese,https://galleriaborghese.beniculturali.it/,True,,False,,False,Italian DH Institutions,,False,,2022-04-18 00:10:45,2024-12-03 15:39:13
Ebla Digital Archives,http://ebda.cnr.it/,True,,False,,False,Italian DH Institutions,,False,,2023-02-17 14:45:54,2024-10-02 15:26:13
Creta Inscriptions,https://ilc4clarin.ilc.cnr.it/cretaninscriptions,False,,False,,False,Italian DH Institutions,,True,pagina non trovata,2010-07-22 07:22:55,2024-12-21 15:06:15
CoPhiLab: Collaborative and Cooperative Philology Lab,http://www.languagelibrary.eu/new_ewnui/,True,,False,,False,Italian DH Institutions,,False,,2018-11-30 12:18:25,2024-12-16 10:04:22
Biflow: catalogo bilingue,https://catalogobiflow.vedph.it/,True,,False,,False,Italian DH Institutions,,False,,2021-05-20 15:47:12,2023-05-20 12:09:33
Papyri.info,https://papyri.info/,True,,False,,False,Italian DH Institutions,,False,,2017-06-12 00:33:27,2024-03-03 08:22:53
EDF,http://edf.unive.it/,False,,False,,False,Italian DH Institutions,,False,impossibile raggiungere il sito,2021-06-29 08:01:26,2024-11-16 00:07:13
Nuova Bilioteca Manoscritta,https://www.nuovabibliotecamanoscritta.it/,True,,False,,False,Italian DH Institutions,,False,,2007-09-29 00:41:54,2024-12-21 01:02:01
Venice Squeeze Project,https://www.e-stampages.eu/s/e-stampages/page/accueil,False,,False,,False,Italian DH Institutions,,False,mi sembra un sitovetrina e basta,2019-09-09 13:09:42,2024-06-17 09:14:48
Musisque Deoque: Un archivio digitale di poesia latina,https://www.mqdq.it/public/,False,,False,,False,Italian DH Institutions,,False,error 404 not found,2006-02-14 09:34:33,2024-12-20 17:46:04
Unione Donne in Italia: digital library,https://archiviodigitale.udinazionale.org/,True,,False,,False,Italian DH Institutions,,False,,2019-02-20 07:22:29,2024-11-08 18:23:00
Archivio storico fotografico Adolfo Venturi,https://digilab.uniroma1.it/risorse/archivio-storico-fotografico,False,,False,,False,Italian DH Institutions,,True,accesso negato,2016-01-20 23:09:21,2024-12-01 00:26:00
Arts 01,https://digilab.uniroma1.it/ricerca/progetti-conclusi/arts-0-1,False,,False,,False,Italian DH Institutions,,True,pagina non trovata,2018-06-02 23:33:13,2024-11-21 13:59:26
EdMuse,https://edmuse.eu/edmuse-platform/,False,,False,,False,Italian DH Institutions,,False,protocollo https non implementato + file not found,2022-06-25 04:21:47,2024-06-16 02:06:21
Europeana Eagle Project,https://www.eagle-network.eu/,True,,False,,False,Italian DH Institutions,,False,,,
DanteSources,https://dantesources.dantenetwork.it/index.html,True,,False,,False,Italian DH Institutions,,False,,2019-02-24 02:51:12,2024-06-15 00:14:27
DASI: digital archive for the study of pre-islamic arabian inscriptions,https://dasi.cnr.it/,True,,False,,False,Italian DH Institutions,,False,,2013-01-28 03:32:48,2024-12-21 10:58:37
Epicum: Epigraphs of Castello Ursino Museum,http://epicum.istc.cnr.it/collezione/,True,,False,,False,Italian DH Institutions,,False,,2021-03-25 11:05:01,2024-07-14 05:26:19
Codex Atlanticus: exploring the largest exhisting collection of writings and drawings of Leonardo Da Vinci,https://codex-atlanticus.ambrosiana.it/#/,True,,False,,False,Italian DH Institutions,,False,,2018-12-20 23:04:20,2024-12-04 12:18:32
"Last Letters from the World Wars: Forming Italian Language, Identity and Memory in Texts of Conflict",https://www.ultimelettere.it/LastLetters/,True,,False,,False,Italian DH Institutions,,False,,2022-07-06 23:18:50,2024-07-20 07:19:56
Le parole dell'arte. Accademia della crusca,https://mla.accademiadellacrusca.org/,True,,False,,False,Italian DH Institutions,,False,,2022-06-21 22:27:33,2024-12-06 15:22:30
The medieval kingdom of Sicily: image database,https://koseodiah.org/mapofkingdom.php,True,,False,,False,Italian DH Institutions,,True,problemi col protocollo google maps,2020-02-26 08:45:09,2024-06-14 10:33:02
Alpilink,https://alpilink.it/ascoltaeesplora/,True,,False,,False,Italian DH Institutions,,False,,2019-03-28 15:34:02,2024-11-25 14:20:34
"Upgrading History.
Diaries from the War Front",https://projects.dharc.unibo.it/uhdw/,True,,False,,False,Italian DH Institutions,,False,,2024-08-09 06:52:16,2024-08-09 06:52:16
Illuminated Dante Project,https://www.dante.unina.it/idp/public/frontend,True,,False,,False,Italian DH Institutions,,False,,2023-09-12 06:07:50,2024-09-07 16:35:43
Biblioteca Informatica dei Libri di Famiglia,https://bilf.ipertesti.it/,True,,False,,False,Italian DH Institutions,,False,,2019-06-28 11:12:06,2023-10-26 09:02:33
AGLIO Atlante Grammaticale della Lingua Italiana delle Origini,http://aglio.ovi.cnr.it/index.php,True,,,,,KNOT,http://purl.org/knot/data/aglio-project,False,,2024-06-20 11:35:23,2024-12-08 04:08:30
Atlante Lessicale Toscano,http://serverdbt.ilc.cnr.it/ALTWEB,True,,,,,KNOT,http://purl.org/knot/data/alt-project,False,,2022-09-30 20:26:19,2024-12-03 23:07:47
ALI Autografi dei Letterati Italiani,http://www.autografi.net/it/,True,,,,,KNOT,http://purl.org/knot/data/ali-project,False,,2020-08-13 11:52:35,2024-02-21 09:08:44
AMS Historica Unibo,https://historica.unibo.it/,True,,,,,KNOT,http://purl.org/knot/data/ams-historica-project,False,,2007-07-27 12:07:23,2024-07-23 09:39:42
Archaide,http://www.archaide.eu/,False,,,,,KNOT,http://purl.org/knot/data/archaide-project,False,impossibile raggiungere il sito,2017-10-22 06:23:17,2024-11-17 07:03:37
ALIM Archivio della Latinità Italiana del Medioevo,http://alim.unisi.it/,True,,,,,KNOT,http://purl.org/knot/data/alim-project,False,,2023-02-06 03:22:12,2024-12-13 15:16:06
ArchiDATA - Archivio di (retro)datazioni lessicali,https://www.archidata.info/,True,,,,,KNOT,http://purl.org/knot/data/archidata-project,False,,2017-01-27 16:59:56,2024-01-24 21:26:54
Archilet - archivio delle corrispondenze letterarie di età moderna,http://www.archilet.it/,True,,,,,KNOT,http://purl.org/knot/data/archilet-project,False,,2019-01-01 20:52:37,2024-12-06 13:32:37
Archivio Elettronico delle Opere di Carlo Emilio Gadda,http://dbtvm1.ilc.cnr.it/Gadda/,True,,,,,KNOT,http://purl.org/knot/data/gadda-archive-project,True,impossibile trovare indirizzo ip del server (database),2013-05-08 11:20:09,2024-12-02 18:15:45
Bradypus,https://bdus.cloud/,True,,,,,KNOT,http://purl.org/knot/data/bradypus-project,True,accesso con credenziali,2012-10-11 01:01:05,2024-12-03 02:02:22
Biblioteca Italiana,http://www.bibliotecaitaliana.it/,True,,,,,KNOT,http://purl.org/knot/data/bib-ita-project,False,,2024-05-22 08:54:38,2024-05-22 08:54:38
Carlo Goldoni,https://www.carlogoldoni.it/public/,True,,,,,KNOT,http://purl.org/knot/data/goldoni-drammi-project,False,,2021-03-28 16:33:24,2024-12-08 06:44:57
Carte d'autore online,https://www.cartedautore.it/,True,,,,,KNOT,http://purl.org/knot/data/carte-autore-project,False,,2002-02-03 09:34:32,2024-12-17 20:15:07
Carteggio Ricci digital library,http://carteggiodiguerra.cnr.it/,True,,,,,KNOT,http://purl.org/knot/data/carteggio-ricci-project,False,,2016-08-22 06:09:15,2024-11-30 06:49:16
Catalogus Philologorum Classicorum (CPhCl),http://www.aristarchus.unige.net/CPhCl/en/Home,True,,,,,KNOT,http://purl.org/knot/data/cphci-project,False,,2014-08-10 17:00:39,2024-12-07 23:19:32
CLaSSES - Corpus for Latin Sociolinguistic Studies on Epigraphic textS,https://classes-latin-linguistics.fileli.unipi.it/en,True,,,,,KNOT,http://purl.org/knot/data/classes-project,False,,2022-09-23 22:41:30,2024-06-14 22:58:34
Clori - archivio della cantata italiana,https://cantataitaliana.it/,True,,,,,KNOT,http://purl.org/knot/data/clori-project,False,,2017-09-28 12:52:45,2024-07-21 13:01:09
CO.COR (COMPLIMENT CORPUS),http://www.cocor.eu/index.php,True,,,,,KNOT,http://purl.org/knot/data/cocor-project,True,accesso con credenziali,2020-10-23 21:57:04,2024-10-02 17:52:39
Colonizzazioni interne e Migrazioni,https://storia.dh.unica.it/colonizzazioninterne/,True,,,,,KNOT,http://purl.org/knot/data/col-interne-project,False,,2011-10-30 09:03:36,2024-12-18 04:36:11
Corago,http://corago.unibo.it/,True,,,,,KNOT,http://purl.org/knot/data/corago-project,False,,2020-12-30 05:20:10,2023-10-26 00:43:20
Corago LOD,http://corago.unibo.it/lod,False,,,,,KNOT,http://purl.org/knot/data/corago-lod-project,False,error 404,2021-09-28 03:40:17,2024-06-22 00:46:52
Corpus Rhythmorum Musicum ,https://www.corimu.unisi.it/public/frontend/index,True,,,,,KNOT,http://purl.org/knot/data/corimu-project,False,,2013-10-05 19:43:16,2024-12-18 02:47:47
Dante Search,https://dantesearch.dantenetwork.it/,True,,,,,KNOT,http://purl.org/knot/data/dante-search-project,False,,2022-06-07 08:53:46,2022-12-08 05:13:43
DIGESTO,http://dbtvm1.ilc.cnr.it/digesto/Digesto_Home.html,True,,,,,KNOT,http://purl.org/knot/data/digesto-project,False,,2021-07-25 00:28:35,2023-03-21 00:23:42
DigilibLT - Biblioteca digitale di testi latini tardoantichi,https://digiliblt.uniupo.it/index.php,True,,,,,KNOT,http://purl.org/knot/data/digiliblt-project,False,,2020-08-12 00:21:32,2024-06-30 11:43:30
Digital Library Pavia,https://www.bibliotecadigitale.unipv.eu/,True,,,,,KNOT,http://purl.org/knot/data/digi-lib-pavia-project,False,,2022-03-08 23:13:17,2023-03-27 21:10:32
DOGE Percorsi Digitali,https://doge.unige.net/,True,,,,,KNOT,http://purl.org/knot/data/doge-project,False,,2017-07-17 20:24:37,2024-05-22 14:32:08
Epigraphic Database Roma (EDR),http://www.edr-edr.it/default/index.php,True,,,,,KNOT,http://purl.org/knot/data/edr-project,False,,2020-12-18 07:55:58,2024-11-18 08:00:55
EDV -  Epigraphic Database Vernacular,http://www.edvcorpus.com/wp/,True,,,,,KNOT,http://purl.org/knot/data/edv-project,False,,2022-01-26 16:15:57,2024-11-25 10:18:19
ELA - Eurasian Latin Archive,http://ela.unisi.it/,True,,,,,KNOT,http://purl.org/knot/data/ela-project,False,,2017-02-24 03:00:58,2024-10-08 07:29:04
SERICA,https://serica.unipi.it/,True,,,,,KNOT,http://purl.org/knot/data/serica-project,False,lo abbiamo già ma è interessante vedere i link diversi,2019-11-11 01:16:32,2024-07-17 20:09:52
Ramusio,http://virgo.unive.it/ecf-workflow/books/Ramusio/main/intro.html,False,,,,,KNOT,http://purl.org/knot/data/elec-ramusio-project,False,impossibile raggiungere il sito,2021-12-17 00:20:52,2024-02-25 02:48:08
FRED - Machine Reading for the Semantic Web,http://wit.istc.cnr.it/stlab-tools/fred/,True,,,,,KNOT,http://purl.org/knot/data/fred-project,False,,2022-09-04 17:16:37,2024-06-24 22:29:25
Greek into Arabic,http://www.greekintoarabic.eu/index0b30.html,True,,,,,KNOT,http://purl.org/knot/data/g2a-project,False,è un sito vetrina,2015-08-29 08:43:51,2023-10-28 17:41:44
Idilli di Giacomo Leopardi,https://leopardi.ecdosys.org/en/Home/,True,,,,,KNOT,http://purl.org/knot/data/idili-leopardi-project,False,,2012-07-15 01:08:17,2024-09-30 10:17:43
L'Area Cimiteriale di San Matteo,https://sepolturesanmatteo.labcd.unipi.it/,True,,,,,KNOT,http://purl.org/knot/data/cimi-san-matteo-project,False,,2020-07-14 07:38:23,2023-10-02 08:45:20
LIBERaBIT,https://www.liberabit.unisa.it/,True,,,,,KNOT,http://purl.org/knot/data/liberabit-project,False,,2024-05-09 13:23:46,2024-05-09 13:23:46
Libretti d'opera,https://www.librettodopera.it/public/,True,,,,,KNOT,http://purl.org/knot/data/libretti-opera-project,False,,2021-03-05 00:01:09,2024-06-19 06:31:15
"Italian Natural Language Processing Lab
",http://www.italianlp.it/demo/linguistic-annotation-tool/,True,,,,,KNOT,http://purl.org/knot/data/lingua-project,False,,2022-09-19 18:31:15,2024-10-05 03:40:23
studiolo belfiore,https://studiolobelfiore.unibo.it/,False,,,,,KNOT,http://purl.org/knot/data/belfiore-project,False,sito senza protocollo https + server non funzionante,2016-12-24 12:52:31,2024-12-15 05:01:41
Mappa project,https://mappaproject.arch.unipi.it/mod/Index.php,True,http://www.mappaproject.org/,True,,,KNOT,http://purl.org/knot/data/mappa-open-project,False,,2014-07-12 10:58:42,2024-04-18 08:20:45
,http://vmo.unive.it/inventory1720/,False,,,,,KNOT,http://purl.org/knot/data/marchio-angeli-project,False,il link fa un redirecting e poi dà errore impossibile raggiungere sito,2024-01-03 14:45:05,2024-11-25 15:06:10
"mAuth - Mining Authoritativeness
in Art History",https://projects.dharc.unibo.it/mauth/search,True,,,,,KNOT,http://purl.org/knot/data/mauth-project,True,404 not found,2012-05-24 04:23:54,2024-08-28 17:55:07
Memoria di guerra,http://www.memoriediguerra.it/,True,,,,,KNOT,http://purl.org/knot/data/memorie-guerra-project,False,,2020-05-16 03:09:03,2024-11-29 22:43:57
Metastasio,https://www.progettometastasio.it/public/,True,,,,,KNOT,http://purl.org/knot/data/metastasio-drammi-project,False,,2023-01-30 20:56:53,2023-06-05 13:10:11
Musisque Deoque. Un archivio digitale di poesia latina,https://mizar.unive.it/mqdq/public/index,True,,,,,KNOT,http://purl.org/knot/data/musisque-deoque-project,False,,2017-08-09 14:22:43,2024-06-23 08:30:20
mythLOD,https://dharc-org.github.io/mythlod/static/mima.html,True,,,,,KNOT,http://purl.org/knot/data/mythlod-project,False,,2016-07-26 21:25:16,2024-12-15 13:43:54
PAISÀ corpus italiano,https://www.corpusitaliano.it/en/index.html,True,,,,,KNOT,http://purl.org/knot/data/paisa-project,False,,2019-03-06 08:06:09,2024-06-21 01:23:36
PARTIGIANI D'ITALIA,https://partigianiditalia.cultura.gov.it/,True,,,,,KNOT,http://purl.org/knot/data/partigiani-italia-project,False,consultazione dei dati solo con registrazione,2022-12-05 20:27:10,2024-04-18 19:33:59
PAThs - Archaeological Atlas of Coptic Literature,https://atlas.paths-erc.eu/,True,,,,,KNOT,http://purl.org/knot/data/paths-project,False,,2012-09-30 01:40:22,2024-06-21 17:18:31
PedeCerto - metrica latina digitale,https://www.pedecerto.eu/public/,False,,,,,KNOT,http://purl.org/knot/data/pedecerto-project,False,error 404 not found,2022-12-10 14:41:50,2024-11-16 07:28:27
RDCI - Repertorio Digitale della Canzone Italiana,https://www.rdci.it/,True,,,,,KNOT,http://purl.org/knot/data/repertorio-canzone-project,False,,2019-02-25 10:44:01,2024-12-14 09:25:02
RePIM - Repertorio della Poesia Italiana in Musica,https://repim.itatti.harvard.edu/resource/repim:formSearch,True,,,,,KNOT,http://purl.org/knot/data/repim-project,False,,2020-02-22 20:18:41,2024-11-19 08:21:37
S. Michele Arcangelo di Pegazzano,https://sanmichelepegazzano.labcd.unipi.it/,True,,,,,KNOT,http://purl.org/knot/data/pegazzano-project,False,,2021-06-24 09:06:14,2024-11-23 16:34:37
The Sound of St Mark's,http://vmo.unive.it/choirbooks/,False,,,,,KNOT,http://purl.org/knot/data/sound-stmark-project,False,"fa un redicrect, e poi impossibile raggiungere il sito",2023-06-07 17:44:19,2024-11-23 10:35:43
Varianti all’opera,https://www.variantiallopera.it/public/,True,,,,,KNOT,http://purl.org/knot/data/varianti-opera-project,False,,2020-02-26 11:41:17,2024-09-18 09:24:11
"VASTO - VArchi, STOria FIORENTINA",https://dharc-org.github.io/progetto-vasto/index.html,True,,,,,KNOT,http://purl.org/knot/data/vasto-project,False,,2018-05-02 09:01:48,2024-07-23 23:58:09
WaCky - The Web-As-Corpus Kool Yinitiative,https://wacky.sslmit.unibo.it/,True,,,,,KNOT,http://purl.org/knot/data/wacky-project,False,,2016-11-02 13:04:48,2024-12-14 01:24:52
Atlante Storia MArittima della SArdegna,https://storia.dh.unica.it/asmsa/it,True,,,,,KNOT,http://purl.org/knot/data/asmsa-project,False,ogni tanto qualche link dà pagina non trovata,2020-09-10 09:59:48,2024-07-11 17:55:44
Dal Libro alla Biblioteca (DaLiB),https://dalib.it/,True,,,,,KNOT,http://purl.org/knot/data/dalib-project,False,,2005-03-05 22:32:52,2024-10-05 00:43:12
Ebla Digital Archives,http://ebda.cnr.it/index,True,,,,,KNOT,http://purl.org/knot/data/ebla-project,False,,2024-02-21 05:58:46,2024-06-22 00:39:44
Corpus KIParla - L'italiano parlato e chi parla italiano,https://kiparla.it/,True,,,,,KNOT,http://purl.org/knot/data/kiparla-project,True,il corpus è accessibile solo con credenziali,2023-03-30 10:25:50,2024-11-24 23:18:26
Le Lettere di Alessandra Macinghi Strozzi,https://macinghi-strozzi.labdilef.it/,True,,,,,KNOT,http://purl.org/knot/data/macinghi-strozzi-project,False,,2019-02-03 10:29:08,2024-09-26 17:51:32
Lodovico Media Library,https://lodovico.medialibrary.it/home/index.aspx,True,,,,,KNOT,http://purl.org/knot/data/lodovico-project,False,,2020-08-05 14:21:15,2024-11-16 08:55:13
Manoscritti Italiani Volgari del 17° secolo,https://miv17.labdilef.it/,True,,,,,KNOT,http://purl.org/knot/data/miv17-project,False,,2022-06-30 16:45:39,2024-12-05 20:14:13
Archivio Musicale dell'Orchestra Sinfonica Nazionale della Rai,http://www.osn.teche.rai.it/Default.aspx,True,,,,,KNOT,http://purl.org/knot/data/rai-orchestra-project,False,,2021-04-15 10:02:13,2024-12-14 18:05:13
Archivio digitale del Risorgimento in Sardegna,https://storia.dh.unica.it/archiviodigitalerisorgimento/,True,,,,,KNOT,http://purl.org/knot/data/archivio-risorgimento-sardegna-project,False,,2023-01-28 07:31:05,2024-11-29 22:08:26
